Day,Discipline_Code,Event,Phase,Venue
2024-08-03,JUD,Mixed Team,Mixed Team Quarterfinals,Champ-de-Mars Arena
2024-08-03,SWM,Men''s 1500m Freestyle,Men''s 1500m Freestyle - Heats,Paris La Defense Arena
2024-08-03,ATH,Men''s 100m,Men''s 100m Round 1,Stade de France
2024-08-03,VBV,Women,Women''s Preliminary - Pool F - Matches,Eiffel Tower Stadium
2024-08-03,TEN,Men''s Doubles,Men''s Doubles Finals,Roland-Garros Stadium
2024-08-03,TEN,Women''s Singles,Women''s Singles Finals,Roland-Garros Stadium
2024-08-03,TEN,Men''s Singles,Men''s Singles Finals,Roland-Garros Stadium
2024-08-03,SAL,Women''s Dinghy,Women''s Dinghy Opening Series,Marseille Marina
2024-08-03,WPO,Men,Men''s Preliminary Round - Group A,Aquatics Centre
2024-08-03,SAL,Women''s Windsurfing,Women''s Windsurfing Quarterfinal,Marseille Marina
2024-08-03,SAL,Men''s Dinghy,Men''s Dinghy Opening Series,Marseille Marina
2024-08-03,SAL,Men''s Windsurfing,Men''s Windsurfing Quarterfinal,Marseille Marina
2024-08-03,SWM,Men''s 4 x 100m Medley Relay,Men''s 4 x 100m Medley Relay - Heats,Paris La Defense Arena
2024-08-03,SWM,Women''s 4 x 100m Medley Relay,Women''s 4 x 100m Medley Relay - Heats,Paris La Defense Arena
2024-08-03,SAL,Women''s Windsurfing,Women''s Windsurfing Semifinal,Marseille Marina
2024-08-03,JUD,Mixed Team,Mixed Team Repechage,Champ-de-Mars Arena
2024-08-03,ARC,Women''s Individual,Women''s Individual Quarterfinals,Invalides
2024-08-03,FEN,Women''s Sabre Team,Women''s Sabre Team Table of 8,Grand Palais
2024-08-03,VVO,Women,Women''s Preliminary Round - Pool B,South Paris Arena 1
2024-08-03,SAL,Mixed Multihull,Mixed Multihull Opening Series,Marseille Marina
2024-08-03,SAL,Men''s Windsurfing,Men''s Windsurfing Semifinal,Marseille Marina
2024-08-03,TTE,Women''s Singles,Women''s Singles Finals,South Paris Arena 4
2024-08-03,SAL,Women''s Windsurfing,Women''s Windsurfing Final,Marseille Marina
2024-08-03,JUD,Mixed Team,Mixed Team Semifinals,Champ-de-Mars Arena
2024-08-03,ATH,Men''s Decathlon,Men''s Decathlon Pole Vault,Stade de France
2024-08-03,ARC,Women''s Individual,Women''s Individual Semifinals,Invalides
2024-08-03,SAL,Men''s Windsurfing,Men''s Windsurfing Final,Marseille Marina
2024-08-03,FEN,Women''s Sabre Team,Women''s Sabre Team Classifications 5-8,Grand Palais
2024-08-03,ARC,Women''s Individual,Women''s Individual Finals,Invalides
2024-08-03,BDM,Women''s Doubles,Women''s Doubles Finals,La Chapelle Arena
2024-08-03,FBL,Women,Women''s Quarter-finals,Parc des Princes
2024-08-03,FEN,Women''s Sabre Team,Women''s Sabre Team Semifinals,Grand Palais
2024-08-03,GAR,Men''s Floor Exercise,Men''s Floor Exercise Final,Bercy Arena
2024-08-03,BOX,Men''s 57kg,Men''s 57kg - Quarterfinals,North Paris Arena
2024-08-03,CSL,Women''s Kayak Cross,Women''s Kayak Cross Round 1,Nautical St - White water
2024-08-03,SHO,Skeet Men,Skeet Men''s Final,Chateauroux Shooting Ctr
2024-08-03,SAL,Mixed Dinghy,Mixed Dinghy Opening Series,Marseille Marina
2024-08-03,HBL,Women,Women''s Preliminary Round Group A,South Paris Arena 6
2024-08-03,JUD,Mixed Team,Mixed Team Matches for Bronze Medals,Champ-de-Mars Arena
2024-08-03,BOX,Men''s 71kg,Men''s 71kg - Quarterfinals,North Paris Arena
2024-08-03,FEN,Women''s Sabre Team,Women''s Sabre Team Finals,Grand Palais
2024-08-03,GAR,Women''s Vault,Women''s Vault Final,Bercy Arena
2024-08-03,BOX,Women''s 50kg,Women''s 50kg - Quarterfinals,North Paris Arena
2024-08-03,CSL,Men''s Kayak Cross,Men''s Kayak Cross Round 1,Nautical St - White water
2024-08-03,VVO,Men,Men''s Preliminary Round - Pool B,South Paris Arena 1
2024-08-03,BOX,Women''s 66kg,Women''s 66kg - Quarterfinals,North Paris Arena
2024-08-03,BKB,Men,Men''s Group Phase - Group C,Pierre Mauroy Stadium
2024-08-03,GAR,Men''s Pommel Horse,Men''s Pommel Horse Final,Bercy Arena
2024-08-03,JUD,Mixed Team,Mixed Team Final,Champ-de-Mars Arena
2024-08-03,BK3,Women,Women''s Pool Round,La Concorde 1
2024-08-03,BOX,Women''s 60kg,Women''s 60kg - Semifinals,North Paris Arena
2024-08-03,VBV,Men,Men''s lucky loser,Eiffel Tower Stadium
2024-08-03,CSL,Women''s Kayak Cross,Women''s Kayak Cross Repechage,Nautical St - White water
2024-08-03,CSL,Men''s Kayak Cross,Men''s Kayak Cross Repechage,Nautical St - White water
2024-08-03,ATH,Men''s Decathlon,Men''s Decathlon Javelin Throw,Stade de France
2024-08-03,ATH,Men''s 1500m,Men''s 1500m Repechage Round,Stade de France
2024-08-03,ATH,Men''s Shot Put,Men''s Shot Put Final,Stade de France
2024-08-03,ATH,Women''s 100m,Women''s 100m Semi-Final,Stade de France
2024-08-03,ATH,Women''s Triple Jump,Women''s Triple Jump Final,Stade de France
2024-08-03,SWM,Men''s 100m Butterfly,Men''s 100m Butterfly Final,Paris La Defense Arena
2024-08-03,SWM,Women''s 50m Freestyle,Women''s 50m Freestyle Semifinals,Paris La Defense Arena
2024-08-03,ATH,4 x 400m Relay Mixed,4 x 400m Relay Mixed Final,Stade de France
2024-08-03,VBV,Women,Women''s lucky loser,Eiffel Tower Stadium
2024-08-03,VVO,Men,Men''s Preliminary Round - Pool A,South Paris Arena 1
2024-08-03,SWM,Women''s 200m Individual Medley,Women''s 200m Individual Medley Final,Paris La Defense Arena
2024-08-03,ATH,Women''s 100m,Women''s 100m Final,Stade de France
2024-08-03,SWM,Women''s 800m Freestyle,Women''s 800m Freestyle Final,Paris La Defense Arena
2024-08-03,BK3,Women,Women''s Play-in Games,La Concorde 1
2024-08-03,ATH,Men''s Decathlon,Men''s Decathlon 1500m,Stade de France
2024-08-03,SWM,Mixed 4 x 100m Medley Relay,Mixed 4 x 100m Medley Relay Final,Paris La Defense Arena
2024-08-04,BDM,Women''s Singles,Women''s Singles Semifinals,La Chapelle Arena
2024-08-04,VBV,Women,Women''s Round of 16,Eiffel Tower Stadium
2024-08-04,GLF,Men''s Individual Stroke Play,Men''s Individual Stroke Play,Le Golf National
2024-08-04,HBL,Men,Men''s Preliminary Round Group A,South Paris Arena 6
2024-08-04,SHO,25m Rapid Fire Pistol Men,25m Rapid Fire Pistol Men''s Qual.,Chateauroux Shooting Ctr
2024-08-04,SHO,Skeet Mixed Team,Skeet Mixed Team Training,Chateauroux Shooting Ctr
2024-08-04,VVO,Women,Women''s Preliminary Round - Pool C,South Paris Arena 1
2024-08-04,ARC,Men''s Individual,Men''s Individual 1-8 Elimination Round,Invalides
2024-08-04,SHO,Skeet Women,Skeet Women''s Qualification,Chateauroux Shooting Ctr
2024-08-04,VBV,Men,Men''s Round of 16,Eiffel Tower Stadium
2024-08-04,EQU,Dressage Individual,Dressage Individual Grand Prix Freestyle,Ch̢teau de Versailles
2024-08-04,HOC,Men,Men''s Quarter-finals,Yves-du-Manoir Stadium
2024-08-04,ATH,Women''s 3000m Steeplechase,Women''s 3000m Steeplechase Round 1,Stade de France
2024-08-04,ATH,Women''s Hammer Throw,Women''s Hammer Throw Qualification,Stade de France
2024-08-04,BDM,Men''s Singles,Men''s Singles Semifinals,La Chapelle Arena
2024-08-04,ATH,Women''s 200m,Women''s 200m Round 1,Stade de France
2024-08-04,ATH,Men''s Long Jump,Men''s Long Jump Qualification,Stade de France
2024-08-04,BKB,Women,Women''s Group Phase - Group C,Pierre Mauroy Stadium
2024-08-04,BOX,Women''s 57kg,Women''s 57kg - Quarterfinals,North Paris Arena
2024-08-04,HBL,Men,Men''s Preliminary Round Group B,South Paris Arena 6
2024-08-04,BOX,Women''s 75kg,Women''s 75kg - Quarterfinals,North Paris Arena
2024-08-04,ATH,Men''s 110m Hurdles,Men''s 110m Hurdles Round 1,Stade de France
2024-08-04,FEN,Men''s Foil Team,Men''s Foil Team Table of 8,Grand Palais
2024-08-04,TEN,Women''s Doubles,Women''s Doubles Finals,Roland-Garros Stadium
2024-08-04,TEN,Men''s Singles,Men''s Singles Finals,Roland-Garros Stadium
2024-08-04,BOX,Women''s 54kg,Women''s 54kg - Semifinals,North Paris Arena
2024-08-04,SAL,Men''s Dinghy,Men''s Dinghy Opening Series,Marseille Marina
2024-08-04,SAL,Mixed Dinghy,Mixed Dinghy Opening Series,Marseille Marina
2024-08-04,SAL,Men''s Kite,Men''s Kite Opening Series,Marseille Marina
2024-08-04,BOX,Men''s 51kg,Men''s 51kg - Semifinals,North Paris Arena
2024-08-04,SAL,Women''s Kite,Women''s Kite Opening Series,Marseille Marina
2024-08-04,ATH,Women''s 400m Hurdles,Women''s 400m Hurdles Round 1,Stade de France
2024-08-04,BOX,Men''s 63.5kg,Men''s 63.5kg - Semifinals,North Paris Arena
2024-08-04,BOX,Men''s 80kg,Men''s 80kg - Semifinals,North Paris Arena
2024-08-04,ARC,Men''s Individual,Men''s Individual Quarterfinals,Invalides
2024-08-04,VVO,Women,Women''s Preliminary Round - Pool A,South Paris Arena 1
2024-08-04,BOX,Men''s 92kg,Men''s 92kg - Semifinals,North Paris Arena
2024-08-04,BKB,Women,Women''s Group Phase - Group B,Pierre Mauroy Stadium
2024-08-04,TTE,Men''s Singles,Men''s Singles Finals,South Paris Arena 4
2024-08-04,FEN,Men''s Foil Team,Men''s Foil Team Classifications 5-8,Grand Palais
2024-08-04,ARC,Men''s Individual,Men''s Individual Semifinals,Invalides
2024-08-04,CRD,Women''s Road Race,Women''s Road Race,Trocad̩ro
2024-08-04,WPO,Women,Women''s Preliminary Round - Group A,Aquatics Centre
2024-08-04,ARC,Men''s Individual,Men''s Individual Finals,Invalides
2024-08-04,SAL,Women''s Dinghy,Women''s Dinghy Opening Series,Marseille Marina
2024-08-04,FEN,Men''s Foil Team,Men''s Foil Team Semifinals,Grand Palais
2024-08-04,GAR,Men''s Rings,Men''s Rings Final,Bercy Arena
2024-08-04,BDM,Men''s Doubles,Men''s Doubles Finals,La Chapelle Arena
2024-08-04,CSL,Men''s Kayak Cross,Men''s Kayak Cross Heats,Nautical St - White water
2024-08-04,SHO,Skeet Women,Skeet Women''s Final,Chateauroux Shooting Ctr
2024-08-04,WPO,Women,Women''s Preliminary Round - Group B,Aquatics Centre
2024-08-04,GAR,Women''s Uneven Bars,Women''s Uneven Bars Final,Bercy Arena
2024-08-04,SAL,Mixed Multihull,Mixed Multihull Opening Series,Marseille Marina
2024-08-04,FEN,Men''s Foil Team,Men''s Foil Team Finals,Grand Palais
2024-08-04,GAR,Men''s Vault,Men''s Vault Final,Bercy Arena
2024-08-04,CSL,Women''s Kayak Cross,Women''s Kayak Cross Heats,Nautical St - White water
2024-08-04,BK3,Men,Men''s Pool Round,La Concorde 1
2024-08-04,SWM,Women''s 50m Freestyle,Women''s 50m Freestyle Final,Paris La Defense Arena
2024-08-04,SWM,Men''s 1500m Freestyle,Men''s 1500m Freestyle Final,Paris La Defense Arena
2024-08-04,ATH,Men''s 400m,Men''s 400m Round 1,Stade de France
2024-08-04,SWM,Men''s 4 x 100m Medley Relay,Men''s 4 x 100m Medley Relay Final,Paris La Defense Arena
2024-08-04,SWM,Women''s 4 x 100m Medley Relay,Women''s 4 x 100m Medley Relay Final,Paris La Defense Arena
2024-08-04,ATH,Women''s High Jump,Women''s High Jump Final,Stade de France
2024-08-04,ATH,Men''s 100m,Men''s 100m Semi-Final,Stade de France
2024-08-04,ATH,Men''s Hammer Throw,Men''s Hammer Throw Final,Stade de France
2024-08-04,ATH,Women''s 800m,Women''s 800m Semi-Final,Stade de France
2024-08-04,VVO,Women,Women''s Preliminary Round - Pool B,South Paris Arena 1
2024-08-04,ATH,Men''s 1500m,Men''s 1500m Semi-Final,Stade de France
2024-08-04,BK3,Men,Men''s Play-in Games,La Concorde 1
2024-08-04,ATH,Men''s 100m,Men''s 100m Final,Stade de France
2024-08-05,TRI,Mixed Relay,Mixed Relay,Pont Alexandre III
2024-08-05,VBV,Women,Women''s Round of 16,Eiffel Tower Stadium
2024-08-05,SHO,Skeet Mixed Team,Skeet Mixed Team Qualification,Chateauroux Shooting Ctr
2024-08-05,VVO,Men,Men''s Quarterfinals,South Paris Arena 1
2024-08-05,SHO,25m Rapid Fire Pistol Men,25m Rapid Fire Pistol Men''s Final,Chateauroux Shooting Ctr
2024-08-05,VBV,Men,Men''s Round of 16,Eiffel Tower Stadium
2024-08-05,DIV,Women''s 10m Platform,Women''s 10m Platform Preliminary,Aquatics Centre
2024-08-05,HOC,Women,Women''s Quarter-finals,Yves-du-Manoir Stadium
2024-08-05,CLB,Men''s Boulder & Lead,Men''s Boulder & Lead Semifinals,Le Bourget Climbing Venue
2024-08-05,TTE,Men''s Team,Men''s Team Round of 16,South Paris Arena 4
2024-08-05,TTE,Women''s Team,Women''s Team Round of 16,South Paris Arena 4
2024-08-05,ATH,Men''s 400m Hurdles,Men''s 400m Hurdles Round 1,Stade de France
2024-08-05,ATH,Men''s Discus Throw,Men''s Discus Throw Qualification,Stade de France
2024-08-05,ATH,Women''s Pole Vault,Women''s Pole Vault Qualification,Stade de France
2024-08-05,ATH,Women''s 400m Hurdles,Women''s 400m Hurdles Repechage Round,Stade de France
2024-08-05,BDM,Women''s Singles,Women''s Singles Finals,La Chapelle Arena
2024-08-05,ATH,Men''s 400m,Men''s 400m Repechage Round,Stade de France
2024-08-05,GAR,Men''s Parallel Bars,Men''s Parallel Bars Final,Bercy Arena
2024-08-05,ATH,Women''s 400m,Women''s 400m Round 1,Stade de France
2024-08-05,WPO,Men,Men''s Preliminary Round - Group B,Paris La Defense Arena
2024-08-05,SAL,Women''s Kite,Women''s Kite Opening Series,Marseille Marina
2024-08-05,SAL,Mixed Multihull,Mixed Multihull Opening Series,Marseille Marina
2024-08-05,SAL,Women''s Dinghy,Women''s Dinghy Opening Series,Marseille Marina
2024-08-05,SAL,Men''s Kite,Men''s Kite Opening Series,Marseille Marina
2024-08-05,GAR,Women''s Balance Beam,Women''s Balance Beam Final,Bercy Arena
2024-08-05,ATH,Women''s 200m,Women''s 200m Repechage Round,Stade de France
2024-08-05,CLB,Women''s Speed,Women''s Speed Qualification,Le Bourget Climbing Venue
2024-08-05,GAR,Men''s Horizontal Bar,Men''s Horizontal Bar Final,Bercy Arena
2024-08-05,EQU,Jumping Individual,Jumping Individual Qualification,Ch̢teau de Versailles
2024-08-05,GAR,Women''s Floor Exercise,Women''s Floor Exercise Final,Bercy Arena
2024-08-05,BDM,Men''s Singles,Men''s Singles Finals,La Chapelle Arena
2024-08-05,SAL,Men''s Dinghy,Men''s Dinghy Opening Series,Marseille Marina
2024-08-05,DIV,Women''s 10m Platform,Women''s 10m Platform Semifinal,Aquatics Centre
2024-08-05,SHO,Skeet Mixed Team,Skeet Mixed Team Final,Chateauroux Shooting Ctr
2024-08-05,WRE,Men''s Greco-Roman 60kg,MGR 60kg Qualifications,Champ-de-Mars Arena
2024-08-05,WRE,Women''s Freestyle 68kg,WFS 68kg 1-8 Finals,Champ-de-Mars Arena
2024-08-05,WRE,Men''s Greco-Roman 130kg,MGR 130kg 1-8 Finals,Champ-de-Mars Arena
2024-08-05,WRE,Men''s Greco-Roman 60kg,MGR 60kg 1-8 Finals,Champ-de-Mars Arena
2024-08-05,WPO,Men,Men''s Preliminary Round - Group A,Paris La Defense Arena
2024-08-05,CSL,Women''s Kayak Cross,Women''s Kayak Cross Quarterfinal,Nautical St - White water
2024-08-05,CSL,Men''s Kayak Cross,Men''s Kayak Cross Quarterfinal,Nautical St - White water
2024-08-05,WRE,Women''s Freestyle 68kg,WFS 68kg 1-4 Finals,Champ-de-Mars Arena
2024-08-05,WRE,Men''s Greco-Roman 130kg,MGR 130kg 1-4 Finals,Champ-de-Mars Arena
2024-08-05,WRE,Men''s Greco-Roman 60kg,MGR 60kg 1-4 Finals,Champ-de-Mars Arena
2024-08-05,CSL,Women''s Kayak Cross,Women''s Kayak Cross Semifinal,Nautical St - White water
2024-08-05,CSL,Men''s Kayak Cross,Men''s Kayak Cross Semifinal,Nautical St - White water
2024-08-05,CSL,Women''s Kayak Cross,Women''s Kayak Cross Final,Nautical St - White water
2024-08-05,CSL,Men''s Kayak Cross,Men''s Kayak Cross Final,Nautical St - White water
2024-08-05,CTR,Women''s Team Sprint,"Women''s Team Sprint, Qualifying",National Velodrome
2024-08-05,CTR,Men''s Team Pursuit,"Men''s Team Pursuit, Qualifying",National Velodrome
2024-08-05,BK3,Women,Women''s Semifinals,La Concorde 1
2024-08-05,BK3,Men,Men''s Semifinals,La Concorde 1
2024-08-05,FBL,Men,Men''s Semi-finals,Marseille Stadium
2024-08-05,CTR,Women''s Team Sprint,"Women''s Team Sprint, First Round",National Velodrome
2024-08-05,ATH,Men''s Pole Vault,Men''s Pole Vault Final,Stade de France
2024-08-05,ATH,Men''s 3000m Steeplechase,Men''s 3000m Steeplechase Round 1,Stade de France
2024-08-05,CTR,Men''s Team Sprint,"Men''s Team Sprint, Qualifying",National Velodrome
2024-08-05,SWA,Team,Team Final,Aquatics Centre
2024-08-05,CTR,Women''s Team Sprint,"Women''s Team Sprint, Finals",National Velodrome
2024-08-05,ATH,Men''s 200m,Men''s 200m Round 1,Stade de France
2024-08-05,ATH,Women''s Discus Throw,Women''s Discus Throw Final,Stade de France
2024-08-05,ATH,Women''s 200m,Women''s 200m Semi-Final,Stade de France
2024-08-05,BK3,Women,Women''s Finals,La Concorde 1
2024-08-05,WRE,Men''s Greco-Roman 60kg,MGR 60kg Semifinals,Champ-de-Mars Arena
2024-08-05,WRE,Men''s Greco-Roman 130kg,MGR 130kg Semifinals,Champ-de-Mars Arena
2024-08-05,ATH,Women''s 5000m,Women''s 5000m Final,Stade de France
2024-08-05,WRE,Women''s Freestyle 68kg,WFS 68kg Semifinals,Champ-de-Mars Arena
2024-08-05,BK3,Men,Men''s Finals,La Concorde 1
2024-08-05,ATH,Women''s 800m,Women''s 800m Final,Stade de France
2024-08-05,SRF,Men,Men''s Semifinals,"Teahupo''o, Tahiti"
2024-08-05,SRF,Women,Women''s Semifinals,"Teahupo''o, Tahiti"
2024-08-05,SRF,Men,Men''s Finals,"Teahupo''o, Tahiti"
2024-08-05,SRF,Women,Women''s Finals,"Teahupo''o, Tahiti"
2024-08-06,VVO,Women,Women''s Quarterfinals,South Paris Arena 1
2024-08-06,CSP,Men''s Kayak Four 500m,Men''s Kayak Four 500m Heats,Nautical St - Flat water
2024-08-06,HBL,Women,Women''s Quarterfinals,Pierre Mauroy Stadium
2024-08-06,CSP,Women''s Kayak Four 500m,Women''s Kayak Four 500m Heats,Nautical St - Flat water
2024-08-06,DIV,Men''s 3m Springboard,Men''s 3m Springboard Preliminary,Aquatics Centre
2024-08-06,EQU,Jumping Individual,Jumping Individual Finals,Ch̢teau de Versailles
2024-08-06,CLB,Women''s Boulder & Lead,Women''s Boulder & Lead Semifinals,Le Bourget Climbing Venue
2024-08-06,TTE,Men''s Team,Men''s Team Round of 16,South Paris Arena 4
2024-08-06,TTE,Women''s Team,Women''s Team Round of 16,South Paris Arena 4
2024-08-06,ATH,Women''s 1500m,Women''s 1500m Round 1,Stade de France
2024-08-06,ATH,Men''s Javelin Throw,Men''s Javelin Throw Qualification,Stade de France
2024-08-06,CSP,Men''s Canoe Double 500m,Men''s Canoe Double 500m Heats,Nautical St - Flat water
2024-08-06,ATH,Men''s 110m Hurdles,Men''s 110m Hurdles Repechage Round,Stade de France
2024-08-06,BKB,Men,Men''s Quarterfinals,Bercy Arena
2024-08-06,CSP,Women''s Canoe Double 500m,Women''s Canoe Double 500m Heats,Nautical St - Flat water
2024-08-06,WRE,Men''s Greco-Roman 60kg,MGR 60kg Repechage,Champ-de-Mars Arena
2024-08-06,WRE,Women''s Freestyle 68kg,WFS 68kg Repechage,Champ-de-Mars Arena
2024-08-06,WRE,Men''s Greco-Roman 130kg,MGR 130kg Repechage,Champ-de-Mars Arena
2024-08-06,WRE,Men''s Greco-Roman 77kg,MGR 77kg 1-8 Finals,Champ-de-Mars Arena
2024-08-06,WRE,Women''s Freestyle 50kg,WFS 50kg 1-8 Finals,Champ-de-Mars Arena
2024-08-06,WRE,Men''s Greco-Roman 97kg,MGR 97kg 1-8 Finals,Champ-de-Mars Arena
2024-08-06,ATH,Women''s Long Jump,Women''s Long Jump Qualification,Stade de France
2024-08-06,ATH,Women''s 400m,Women''s 400m Repechage Round,Stade de France
2024-08-06,CSP,Men''s Kayak Double 500m,Men''s Kayak Double 500m Heats,Nautical St - Flat water
2024-08-06,ATH,Men''s 400m Hurdles,Men''s 400m Hurdles Repechage Round,Stade de France
2024-08-06,SAL,Men''s Kite,Men''s Kite Opening Series,Marseille Marina
2024-08-06,SAL,Mixed Multihull,Mixed Multihull Opening Series,Marseille Marina
2024-08-06,CSP,Women''s Kayak Double 500m,Women''s Kayak Double 500m Heats,Nautical St - Flat water
2024-08-06,WRE,Men''s Greco-Roman 77kg,MGR 77kg 1-4 Finals,Champ-de-Mars Arena
2024-08-06,WRE,Women''s Freestyle 50kg,WFS 50kg 1-4 Finals,Champ-de-Mars Arena
2024-08-06,WRE,Men''s Greco-Roman 97kg,MGR 97kg 1-4 Finals,Champ-de-Mars Arena
2024-08-06,SAL,Mixed Dinghy,Mixed Dinghy Opening Series,Marseille Marina
2024-08-06,SAL,Women''s Kite,Women''s Kite Opening Series,Marseille Marina
2024-08-06,ATH,Men''s 200m,Men''s 200m Repechage Round,Stade de France
2024-08-06,SKB,Women''s Park,Women''s Park Prelims,La Concorde 4
2024-08-06,CLB,Men''s Speed,Men''s Speed Qualification,Le Bourget Climbing Venue
2024-08-06,CSP,Men''s Kayak Four 500m,Men''s Kayak Four 500m Quarterfinals,Nautical St - Flat water
2024-08-06,CSP,Women''s Canoe Double 500m,Women''s Canoe Double 500m Quarterfinals,Nautical St - Flat water
2024-08-06,CSP,Men''s Canoe Double 500m,Men''s Canoe Double 500m Quarterfinals,Nautical St - Flat water
2024-08-06,HOC,Men,Men''s Semi-finals,Yves-du-Manoir Stadium
2024-08-06,WPO,Women,Women''s Quarterfinals,Paris La Defense Arena
2024-08-06,CSP,Women''s Kayak Double 500m,Women''s Kayak Double 500m Quarterfinals,Nautical St - Flat water
2024-08-06,CSP,Men''s Kayak Double 500m,Men''s Kayak Double 500m Quarterfinals,Nautical St - Flat water
2024-08-06,DIV,Women''s 10m Platform,Women''s 10m Platform Final,Aquatics Centre
2024-08-06,TTE,Men''s Team,Men''s Team Quarterfinals,South Paris Arena 4
2024-08-06,TTE,Women''s Team,Women''s Team Quarterfinals,South Paris Arena 4
2024-08-06,VBV,Men,Men''s Quarterfinals,Eiffel Tower Stadium
2024-08-06,CTR,Women''s Team Pursuit,"Women''s Team Pursuit, Qualifying",National Velodrome
2024-08-06,SKB,Women''s Park,Women''s Park Final,La Concorde 4
2024-08-06,FBL,Women,Women''s Semi-finals,Lyon Stadium
2024-08-06,WRE,Men''s Greco-Roman 77kg,MGR 77kg Semifinals,Champ-de-Mars Arena
2024-08-06,WRE,Men''s Greco-Roman 97kg,MGR 97kg Semifinals,Champ-de-Mars Arena
2024-08-06,WRE,Women''s Freestyle 50kg,WFS 50kg Semifinals,Champ-de-Mars Arena
2024-08-06,WRE,Men''s Greco-Roman 60kg,MGR 60kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-06,CTR,Men''s Team Sprint,"Men''s Team Sprint, First Round",National Velodrome
2024-08-06,WRE,Men''s Greco-Roman 60kg,MGR 60kg Final,Champ-de-Mars Arena
2024-08-06,CTR,Men''s Team Pursuit,"Men''s Team Pursuit, First Round",National Velodrome
2024-08-06,WRE,Men''s Greco-Roman 130kg,MGR 130kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-06,SWA,Team,Team Final,Aquatics Centre
2024-08-06,WRE,Men''s Greco-Roman 130kg,MGR 130kg Final,Champ-de-Mars Arena
2024-08-06,ATH,Men''s 400m,Men''s 400m Semi-Final,Stade de France
2024-08-06,WRE,Women''s Freestyle 68kg,WFS 68kg Bronze Medal Matches,Champ-de-Mars Arena
2024-08-06,WRE,Women''s Freestyle 68kg,WFS 68kg Final,Champ-de-Mars Arena
2024-08-06,CTR,Men''s Team Sprint,"Men''s Team Sprint, Finals",National Velodrome
2024-08-06,ATH,Women''s Hammer Throw,Women''s Hammer Throw Final,Stade de France
2024-08-06,ATH,Women''s 400m Hurdles,Women''s 400m Hurdles Semi-Final,Stade de France
2024-08-06,ATH,Men''s Long Jump,Men''s Long Jump Final,Stade de France
2024-08-06,ATH,Men''s 1500m,Men''s 1500m Final,Stade de France
2024-08-06,VBV,Women,Women''s Quarterfinals,Eiffel Tower Stadium
2024-08-06,ATH,Women''s 3000m Steeplechase,Women''s 3000m Steeplechase Final,Stade de France
2024-08-06,BOX,Men''s 71kg,Men''s 71kg - Semifinals,Roland-Garros Stadium
2024-08-06,ATH,Women''s 200m,Women''s 200m Final,Stade de France
2024-08-06,BOX,Women''s 50kg,Women''s 50kg - Semifinals,Roland-Garros Stadium
2024-08-06,BOX,Women''s 66kg,Women''s 66kg - Semifinals,Roland-Garros Stadium
2024-08-06,BOX,Women''s 60kg,Women''s 60kg - Final,Roland-Garros Stadium
2024-08-07,ATH,Marathon Race Walk Relay Mixed,Marathon Race Walk Relay Mixed,Trocad̩ro
2024-08-07,GLF,Women''s Individual Stroke Play,Women''s Individual Stroke Play,Le Golf National
2024-08-07,TKW,Men -58kg,Men -58kg Qualification Contest,Grand Palais
2024-08-07,TKW,Women -49kg,Women -49kg Qualification Contest,Grand Palais
2024-08-07,CSP,Women''s Kayak Single 500m,Women''s Kayak Single 500m Heats,Nautical St - Flat water
2024-08-07,HBL,Men,Men''s Quarterfinals,Pierre Mauroy Stadium
2024-08-07,TKW,Women -49kg,Women -49kg Round of 16,Grand Palais
2024-08-07,TKW,Men -58kg,Men -58kg Round of 16,Grand Palais
2024-08-07,DIV,Men''s 3m Springboard,Men''s 3m Springboard Semifinal,Aquatics Centre
2024-08-07,CLB,Men''s Boulder & Lead,Men''s Boulder & Lead Semifinals,Le Bourget Climbing Venue
2024-08-07,TTE,Women''s Team,Women''s Team Quarterfinals,South Paris Arena 4
2024-08-07,TTE,Men''s Team,Men''s Team Quarterfinals,South Paris Arena 4
2024-08-07,ATH,Men''s High Jump,Men''s High Jump Qualification,Stade de France
2024-08-07,ATH,Women''s 100m Hurdles,Women''s 100m Hurdles Round 1,Stade de France
2024-08-07,ATH,Women''s Javelin Throw,Women''s Javelin Throw Qualification,Stade de France
2024-08-07,CSP,Men''s Kayak Single 1000m,Men''s Kayak Single 1000m Heats,Nautical St - Flat water
2024-08-07,BKB,Women,Women''s Quarterfinals,Bercy Arena
2024-08-07,WRE,Men''s Greco-Roman 77kg,MGR 77kg Repechage,Champ-de-Mars Arena
2024-08-07,WRE,Women''s Freestyle 50kg,WFS 50kg Repechage,Champ-de-Mars Arena
2024-08-07,WRE,Men''s Greco-Roman 97kg,MGR 97kg Repechage,Champ-de-Mars Arena
2024-08-07,WRE,Women''s Freestyle 53kg,WFS 53kg 1-8 Finals,Champ-de-Mars Arena
2024-08-07,ATH,Men''s 5000m,Men''s 5000m Round 1,Stade de France
2024-08-07,WRE,Men''s Greco-Roman 67kg,MGR 67kg 1-8 Finals,Champ-de-Mars Arena
2024-08-07,WRE,Men''s Greco-Roman 87kg,MGR 87kg 1-8 Finals,Champ-de-Mars Arena
2024-08-07,CSP,Men''s Canoe Single 1000m,Men''s Canoe Single 1000m Heats,Nautical St - Flat water
