Day,Discipline_Code,Event,Phase,Venue
2024-07-30,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp J,La Chapelle Arena
2024-07-30,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp A,La Chapelle Arena
2024-07-30,ROW,Women''s Single Sculls,Women''s Single Sculls Quarterfinals,Nautical St - Flat water
2024-07-30,SHO,10m Air Pistol Mixed Team,10m Air Pistol Mixed Team Final,Chateauroux Shooting Ctr
2024-07-30,HOC,Men,Men''s Pool A,Yves-du-Manoir Stadium
2024-07-30,JUD,Men -81 kg,Men -81 kg Elimination Round of 64,Champ-de-Mars Arena
2024-07-30,JUD,Women -63 kg,Women -63 kg Elimination Round of 32,Champ-de-Mars Arena
2024-07-30,TTE,Women''s Singles,Women''s Singles Round of 32,South Paris Arena 4
2024-07-30,TTE,Men''s Singles,Men''s Singles Round of 32,South Paris Arena 4
2024-07-30,JUD,Men -81 kg,Men -81 kg Elimination Round of 32,Champ-de-Mars Arena
2024-07-30,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp H,La Chapelle Arena
2024-07-30,ROW,Men''s Single Sculls,Men''s Single Sculls Quarterfinals,Nautical St - Flat water
2024-07-30,WPO,Men,Men''s Preliminary Round - Group B,Aquatics Centre
2024-07-30,ROW,Women''s Double Sculls,Women''s Double Sculls Semifinals,Nautical St - Flat water
2024-07-30,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp G,La Chapelle Arena
2024-07-30,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp D,La Chapelle Arena
2024-07-30,BKB,Men,Men''s Group Phase - Group A,Pierre Mauroy Stadium
2024-07-30,VBV,Women,Women''s Preliminary - Pool A - Matches,Eiffel Tower Stadium
2024-07-30,BOX,Men''s 51kg,Men''s 51kg - Prelims - Round of 16,North Paris Arena
2024-07-30,EQU,Dressage Team,Dressage Team Grand Prix,ChÃ¢teau de Versailles
2024-07-30,EQU,Dressage Individual,Dressage Individual Grand Prix,ChÃ¢teau de Versailles
2024-07-30,SWM,Men''s 200m Butterfly,Men''s 200m Butterfly - Heats,Paris La Defense Arena
2024-07-30,ROW,Men''s Double Sculls,Men''s Double Sculls Semifinals,Nautical St - Flat water
2024-07-30,SWM,Men''s 100m Freestyle,Men''s 100m Freestyle - Heats,Paris La Defense Arena
2024-07-30,JUD,Women -63 kg,Women -63 kg Elimination Round of 16,Champ-de-Mars Arena
2024-07-30,ROW,Women''s Four,Women''s Four Repechages,Nautical St - Flat water
2024-07-30,ROW,Men''s Four,Men''s Four Repechages,Nautical St - Flat water
2024-07-30,JUD,Men -81 kg,Men -81 kg Elimination Round of 16,Champ-de-Mars Arena
2024-07-30,BOX,Men''s 80kg,Men''s 80kg - Prelims - Round of 16,North Paris Arena
2024-07-30,SWM,Women''s 1500m Freestyle,Women''s 1500m Freestyle - Heats,Paris La Defense Arena
2024-07-30,ARC,Men''s Individual,Men''s Individual 1-32 Elimination Round,Invalides
2024-07-30,VBV,Men,Men''s Preliminary - Pool D - Matches,Eiffel Tower Stadium
2024-07-30,TEN,Women''s Singles,Women''s Singles Third Round,Roland-Garros Stadium
2024-07-30,TEN,Men''s Singles,Men''s Singles Second Round,Roland-Garros Stadium
2024-07-30,TEN,Men''s Doubles,Men''s Doubles Second Round,Roland-Garros Stadium
2024-07-30,TEN,Women''s Doubles,Women''s Doubles Second Round,Roland-Garros Stadium
2024-07-30,TEN,Mixed Doubles,Mixed Doubles First Round,Roland-Garros Stadium
2024-07-30,TEN,Women''s Doubles,Women''s Doubles First Round,Roland-Garros Stadium
2024-07-30,SAL,Women''s Skiff,Women''s Skiff Opening Series,Marseille Marina
2024-07-30,WPO,Men,Men''s Preliminary Round - Group A,Aquatics Centre
2024-07-30,JUD,Women -63 kg,Women -63 kg Quarterfinals,Champ-de-Mars Arena
2024-07-30,SAL,Men''s Windsurfing,Men''s Windsurfing Opening Series,Marseille Marina
2024-07-30,BOX,Women''s 54kg,Women''s 54kg - Prelims - Round of 16,North Paris Arena
2024-07-30,ARC,Women''s Individual,Women''s Individual 1-32 Elimination Rnd,Invalides
2024-07-30,JUD,Men -81 kg,Men -81 kg Quarterfinals,Champ-de-Mars Arena
2024-07-30,SAL,Women''s Windsurfing,Women''s Windsurfing Opening Series,Marseille Marina
2024-07-30,SWM,Women''s 100m Freestyle,Women''s 100m Freestyle - Heats,Paris La Defense Arena
2024-07-30,ARC,Men''s Individual,Men''s Individual 1-16 Elimination Round,Invalides
2024-07-30,VVO,Men,Men''s Preliminary Round - Pool C,South Paris Arena 1
2024-07-30,SWM,Men''s 200m Breaststroke,Men''s 200m Breaststroke - Heats,Paris La Defense Arena
2024-07-30,ARC,Women''s Individual,Women''s Individual 1-16 Elimination Rnd,Invalides
2024-07-30,BOX,Women''s 57kg,Women''s 57kg - Prelims - Round of 32,North Paris Arena
2024-07-30,HOC,Men,Men''s Pool B,Yves-du-Manoir Stadium
2024-07-30,SWM,Men''s 4 x 200m Freestyle Relay,Men''s 4 x 200m Freestyle Relay - Heats,Paris La Defense Arena
2024-07-30,BMF,Women''s Park,Women''s Park Qualification,La Concorde 2
2024-07-30,FEN,Women''s Ã‰pÃ©e Team,Women''s Ã‰pÃ©e Team Table of 8,Grand Palais
2024-07-30,TTE,Mixed Doubles,Mixed Doubles Finals,South Paris Arena 4
2024-07-30,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp A,La Chapelle Arena
2024-07-30,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp C,La Chapelle Arena
2024-07-30,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp C,La Chapelle Arena
2024-07-30,HBL,Women,Women''s Preliminary Round Group B,South Paris Arena 6
2024-07-30,RU7,Women,Women''s Placing 5-8,Stade de France
2024-07-30,SAL,Men''s Skiff,Men''s Skiff Opening Series,Marseille Marina
2024-07-30,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp P,La Chapelle Arena
2024-07-30,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp J,La Chapelle Arena
2024-07-30,CSL,Women''s Canoe Single,Women''s Canoe Single Hts 1st and 2nd Run,Nautical St - White water
2024-07-30,FEN,Women''s Ã‰pÃ©e Team,Women''s Ã‰pÃ©e Team Classifications 5-8,Grand Palais
2024-07-30,FBL,Men,Men''s Group C,Parc des Princes
2024-07-30,BMF,Men''s Park,Men''s Park Qualification,La Concorde 2
2024-07-30,RU7,Women,Women''s Semi-finals,Stade de France
2024-07-30,SHO,Trap Men,Trap Men''s Final,Chateauroux Shooting Ctr
2024-07-30,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp B,La Chapelle Arena
2024-07-30,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp I,La Chapelle Arena
2024-07-30,CSL,Men''s Kayak Single,Men''s Kayak Single Heats 1st and 2nd Run,Nautical St - White water
2024-07-30,FEN,Women''s Ã‰pÃ©e Team,Women''s Ã‰pÃ©e Team Semifinals,Grand Palais
2024-07-30,VBV,Women,Women''s Preliminary - Pool E - Matches,Eiffel Tower Stadium
2024-07-30,JUD,Men -81 kg,Men -81 kg Repechage,Champ-de-Mars Arena
2024-07-30,JUD,Men -81 kg,Men -81 kg Semifinals,Champ-de-Mars Arena
2024-07-30,JUD,Women -63 kg,Women -63 kg Repechage,Champ-de-Mars Arena
2024-07-30,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp L,La Chapelle Arena
2024-07-30,RU7,Women,Women''s Finals,Stade de France
2024-07-30,JUD,Women -63 kg,Women -63 kg Semifinals,Champ-de-Mars Arena
2024-07-30,FEN,Women''s Ã‰pÃ©e Team,Women''s Ã‰pÃ©e Team Finals,Grand Palais
2024-07-30,JUD,Men -81 kg,Men -81 kg Contests for Bronze Medals,Champ-de-Mars Arena
